Date,Schedule Rollup,STARS ID,Station Unique,Delay Type,Delay Category,Delay Subcategory,Charge Department,Trouble Code,Delay Total,Incident_Line,Incident Time,Incident Hour,Line
1/8/2024,Weekday,B-148,Sutphin Blvd - Archer Av (G06),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,13:56,13,E
1/8/2024,Weekday,B-166,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,E,22:01,22,E
1/8/2024,Weekday,B-108,W 4 St - Washington Square (A32),Operating Environment,Other Operating Environment,,Public,CONGESTION-ROW CAPACITY,5,E,07:00,7,E
1/8/2024,Weekday,B-172,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Public,CONGESTION-ROW CAPACITY,13,E,22:26,22,E
1/8/2024,Weekday,B-34,Queens Plaza (G21),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,1,E,00:13,0,E
1/9/2024,Weekday,B-122,Parsons/Archer - Jamaica Center (G05),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,4,E,17:06,17,E
1/9/2024,Weekday,B-2,95 St - Bay Ridge (R45),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,18,R,00:26,0,E
1/9/2024,Weekday,B-74,Parsons/Archer - Jamaica Center (G05),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,2,E,10:41,10,E
1/9/2024,Weekday,B-144,Forest Hills - 71 Av (G08),External,Persons on Roadbed,,Police,PERSON ON ROADBED,29,E,19:06,19,E
1/9/2024,Weekday,B-130,Canal St (A34),External,"Public Conduct, Crime, Police Response",,Police,E.A. BOX ACTIVATED,4,E,17:01,17,E
1/9/2024,Weekday,B-112,Jamaica - Van Wyck (G07),External,"Public Conduct, Crime, Police Response",,Police,GUARD LIGHT TROUBLE,1,E,14:36,14,E
1/9/2024,Weekday,B-82,36 St (G20),External,"Public Conduct, Crime, Police Response",,Police,STORM DOOR PROBLEMS,3,E,11:08,11,E
1/9/2024,Weekday,B-124,Kew Gardens - Union Tpke (F06),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,E,16:59,16,E
1/9/2024,Weekday,B-48,Parsons/Archer - Jamaica Center (G05),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,E,07:54,7,E
1/9/2024,Weekday,B-170,36 St (G20),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,3,R,22:17,22,E
1/9/2024,Weekday,B-148,75 Av (F07),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,20:16,20,E
1/9/2024,Weekday,B-36,Queens Plaza (G21),Internal,Subway Car,Propulsion,Division of Car Equipment,NO MOTOR POWER,17,F,04:21,4,E
1/9/2024,Weekday,B-38,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,05:41,5,E
1/9/2024,Weekday,B-14, (),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,1,F,12:00,12,E
1/9/2024,Weekday,B-176,63 Dr - Rego Park (G10),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,15,E,22:27,22,E
1/9/2024,Weekday,B-20,42 St - Port Authority Bus Terminal (A27),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,1,E,02:02,2,E
1/9/2024,Weekday,B-86,Grand Av - Newtown (G12),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,2,E,12:06,12,E
1/9/2024,Weekday,B-62,Queens Plaza (G21),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,9,E,10:30,10,E
1/10/2024,Weekday,B-2,Ditmars Blvd - Astoria (R01),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,6,N,00:30,0,E
1/10/2024,Weekday,B-154,Queens Plaza (G21),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,4,E,20:14,20,E
1/10/2024,Weekday,B-112,Kew Gardens - Union Tpke (F06),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),14,E,12:35,12,E
1/10/2024,Weekday,B-22,Queens Plaza (G21),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,E,03:12,3,E
1/10/2024,Weekday,B-64,World Trade Center (E01),External,"Public Conduct, Crime, Police Response",,Public,DRS FAIL TO O/C CAR,1,E,10:05,10,E
1/10/2024,Weekday,B-136,Queens Plaza (G21),External,Sick/Injured Customer,,Police,SICK CUSTOMER,14,F,16:07,16,E
1/10/2024,Weekday,B-140,Canal St (A34),External,Sick/Injured Customer,,Public,SICK CUSTOMER,6,E,19:23,19,E
1/10/2024,Weekday,B-158,14 St (A31),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,10,C,19:22,19,E
1/10/2024,Weekday,B-120,Jamaica - Van Wyck (G07),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SIGNAL TROUBLE,12,E,14:15,14,E
1/10/2024,Weekday,B-18,Court Square - 23 St (F09),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,5,E,02:00,2,E
1/10/2024,Weekday,B-160,50 St (A25),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,20:00,20,E
1/10/2024,Weekday,B-86,Jackson Hts - Roosevelt Av (G14),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,12:02,12,E
1/10/2024,Weekday,B-85,Lexington Av - 59 St (R11),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,BROKEN RAIL,2,R,13:35,13,E
1/10/2024,Weekday,B-12,42 St - Port Authority Bus Terminal (A27),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,9,E,00:14,0,E
1/10/2024,Weekday,B-178,Jackson Hts - Roosevelt Av (G14),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,17,E,22:33,22,E
1/10/2024,Weekday,B-4,Briarwood - Van Wyck Blvd (F05),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,6,E,00:19,0,E
1/10/2024,Weekday,B-80,Carroll St (F21),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,1,G,11:06,11,E
1/10/2024,Weekday,B-94,Woodhaven Blvd (G11),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,1,F,11:33,11,E
1/10/2024,Weekday,B-68,Forest Hills - 71 Av (G08),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,2,E,10:30,10,E
1/11/2024,Weekday,B-132,Utica Av (A48),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,2,C,16:55,16,E
1/11/2024,Weekday,B-66,Queens Plaza (G21),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,10,E,09:09,9,E
1/11/2024,Weekday,B-46,W 4 St - Washington Square (A32),External,"Public Conduct, Crime, Police Response",,Police,CAR BODY DAMAGE,1,E,07:37,7,E
1/11/2024,Weekday,B-106,Court Square - 23 St (F09),External,"Public Conduct, Crime, Police Response",,Public,COMMISSION HOURS RECOVERY,3,F,09:48,9,E
1/11/2024,Weekday,B-114,World Trade Center (E01),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,E,14:31,14,E
1/11/2024,Weekday,B-130,Kew Gardens - Union Tpke (F06),External,Sick/Injured Customer,,Police,ASSISTANCE REFUSED/UNFOUNDED,2,F,15:55,15,E
1/11/2024,Weekday,B-52,Lexington Av - 53 St (F11),External,Sick/Injured Customer,,Public,ASSISTANCE REFUSED/UNFOUNDED,22,E,08:05,8,E
1/11/2024,Weekday,B-108,World Trade Center (E01),External,Sick/Injured Customer,,Public,SICK CUSTOMER,1,E,13:59,13,E
1/11/2024,Weekday,B-172,World Trade Center (E01),External,Sick/Injured Customer,,Public,SICK CUSTOMER,4,E,21:29,21,E
1/11/2024,Weekday,B-68,Lexington Av - 53 St (F11),External,Sick/Injured Customer,,Public,SICK CUSTOMER,5,E,09:02,9,E
1/11/2024,Weekday,B-58,Jamaica - Van Wyck (G07),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,2,E,07:49,7,E
1/11/2024,Weekday,B-42,Jamaica - Van Wyck (G07),Internal,Stations & Structure,,Division of Station Environment,DELAYED BY REFUSE COLLECTOR,3,E,13:51,13,E
1/11/2024,Weekday,B-59,95 St - Bay Ridge (R45),Internal,Subway Car,Other - CE,Division of Car Equipment,B/O T/O CONSOLE SWITCH,1,R,05:21,5,E
1/11/2024,Weekday,B-48,Court Square - 23 St (F09),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,TRACK CIRCUIT FAILURE,37,F,07:09,7,E
1/11/2024,Weekday,B-144,Lexington Av - 53 St (F11),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,F,17:15,17,E
1/11/2024,Weekday,B-186,36 St (G20),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,E,21:04,21,E
1/11/2024,Weekday,B-26,Sutphin Blvd - Archer Av (G06),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,13,E,00:15,0,E
1/11/2024,Weekday,B-12,5 Av - 53 St (F12),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,14,E,00:18,0,E
1/11/2024,Weekday,B-188,Canal St (A34),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,15,E,22:08,22,E
1/11/2024,Weekday,B-88,Forest Hills - 71 Av (G08),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,7,E,11:32,11,E
1/11/2024,Weekday,B-100,Kew Gardens - Union Tpke (F06),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,8,E,10:15,10,E
1/12/2024,Weekday,B-42,Parsons/Archer - Jamaica Center (G05),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,4,E,04:33,4,E
1/12/2024,Weekday,B-2,207 St - Inwood (A02),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,3,A,12:00,12,E
1/12/2024,Weekday,B-130,Elmhurst Av (G13),External,"Public Conduct, Crime, Police Response",,Police,PERSON RIDING ON O/S OF TRAIN,1,R,14:50,14,E
1/12/2024,Weekday,B-96,Steinway St (G19),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,2,R,11:51,11,E
1/12/2024,Weekday,B-24,5 Av - 53 St (F12),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,1,E,05:06,5,E
1/12/2024,Weekday,B-88,Queens Plaza (G21),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,2,E,11:43,11,E
1/12/2024,Weekday,B-82,Church Av (F27),Internal,Stations & Structure,,Division of Station Environment,DELAYED BY REFUSE COLLECTOR,1,E,11:05,11,E
1/12/2024,Weekday,B-164,Forest Hills - 71 Av (G08),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,E,18:03,18,E
1/12/2024,Weekday,B-180,36 St (G20),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,5,E,22:41,22,E
1/12/2024,Weekday,B-162,Queens Plaza (G21),Operating Environment,Other Operating Environment,,Public,CONGESTION-ROW CAPACITY,4,E,21:08,21,E
1/12/2024,Weekday,B-14,50 St (A25),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,6,E,00:20,0,E
1/12/2024,Weekday,B-182,46 St (G18),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,11,E,23:18,23,E
1/12/2024,Weekday,B-68,Lexington Av - 53 St (F11),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,13,E,10:38,10,E
1/12/2024,Weekday,B-66,Kew Gardens - Union Tpke (F06),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,12,E,10:15,10,E
1/15/2024,Weekday,B-2,Bedford Pk Blvd (D03),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,7,D,00:15,0,E
1/15/2024,Weekday,B-144,Court Square - 23 St (F09),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),5,F,19:12,19,E
1/15/2024,Weekday,B-32,World Trade Center (E01),External,Sick/Injured Customer,,Public,SICK CUSTOMER,3,E,05:26,5,E
1/15/2024,Weekday,B-108,Sutphin Blvd - Archer Av (G06),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,19,E,13:17,13,E
1/15/2024,Weekday,B-107,Ditmars Blvd - Astoria (R01),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SIGNAL TROUBLE,1,N,14:37,14,E
1/15/2024,Weekday,B-156,Jackson Hts - Roosevelt Av (G14),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,BIE-CBTC,2,R,21:53,21,E
1/15/2024,Weekday,B-100,Lexington Av - 53 St (F11),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,E,10:58,10,E
1/15/2024,Weekday,B-168,Forest Hills - 71 Av (G08),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,11,E,22:15,22,E
1/15/2024,Weekday,B-170,Canal St (A34),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,11,E,21:44,21,E
1/15/2024,Weekday,B-158,179 St - Jamaica (F01),Operating Environment,Other Operating Environment,,Public,PERSON(S) HOLDING DOORS,2,F,20:04,20,E
1/15/2024,Weekday,B-8,65 St (G15),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,12,E,00:02,0,E
1/15/2024,Weekday,B-90,Sutphin Blvd - Archer Av (G06),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,12,E,11:14,11,E
1/15/2024,Weekday,B-96,5 Av - 53 St (F12),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,13,E,11:03,11,E
1/15/2024,Weekday,B-84,36 St (G20),Planned ROW Work,,,MTA Construction & Development,GENERAL ORDER OPERATION,1,F,10:54,10,E
1/16/2024,Weekday,B-2,Stillwell Av - Coney Island (D43),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,6,F,00:07,0,E
1/16/2024,Weekday,B-4,36 St (G20),External,Persons on Roadbed,,Police,PERSON STRUCK BY TRAIN/ALIVE,17,E,00:05,0,E
1/16/2024,Weekday,B-18,14 St (A31),External,"Public Conduct, Crime, Police Response",,Police,#CUSTOMER ASSAULTED/ROBBED,3,E,01:41,1,E
1/16/2024,Weekday,B-114,World Trade Center (E01),External,Sick/Injured Customer,,Public,ASSISTANCE REFUSED/UNFOUNDED,1,E,13:35,13,E
1/16/2024,Weekday,B-96,W 4 St - Washington Square (A32),External,Sick/Injured Customer,,Public,SICK CUSTOMER,3,C,11:44,11,E
1/16/2024,Weekday,B-38,Sutphin Blvd - Archer Av (G06),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,14,E,06:44,6,E
1/16/2024,Weekday,B-80,Jackson Hts - Roosevelt Av (G14),Internal,Signal Failures,Signal Modernization Capital Project,MTA Construction & Development,CBTC-SIGNAL EQUIPMENT,7,E,10:08,10,E
1/16/2024,Weekday,B-122,Briarwood - Van Wyck Blvd (F05),Internal,Subway Car,Other - CE,Division of Car Equipment,BIE-CBTC,16,E,17:16,17,E
