Date,Schedule Rollup,STARS ID,Station Unique,Delay Type,Delay Category,Delay Subcategory,Charge Department,Trouble Code,Delay Total,Line,Incident Time,Incident Hour
1/3/2024,Weekday,A-82,242 St - Van Cortlandt Park (101),Internal,Subway Car,Braking,Division of Car Equipment,BIE-BRAKE PIPE RUPTURE,7,1,20:42,20
1/3/2024,Weekday,A-63,238 St (103),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,7,1,18:01,18
1/3/2024,Weekday,A-5,59 St - Columbus Circle (125),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,TRACK CIRCUIT FAILURE,1,1,00:36,0
1/3/2024,Weekday,A-19,191 St (110),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:10,7
1/3/2024,Weekday,A-20,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,4,1,06:05,6
1/3/2024,Weekday,A-22,215 St (107),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,09:50,9
1/3/2024,Weekday,A-54,34 St - Penn Station (128),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,5,1,15:43,15
1/3/2024,Weekday,A-79,96 St (120),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,20:00,20
1/3/2024,Weekday,A-18,215 St (107),Planned ROW Work,,,Division of MOW Engineering,SYSTEM MAINTENANCE EQUIPMENT,8,1,10:00,10
1/3/2024,Weekday,A-7,14 St (132),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,10,1,00:01,0
1/3/2024,Weekday,A-100,50 St (126),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,4,1,23:30,23
1/3/2024,Weekday,A-8,137 St - City College (115),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,5,1,00:25,0
1/3/2024,Weekday,A-6,28 St (129),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,1,1,02:44,2
1/3/2024,Weekday,A-101,181 St (111),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,4,1,22:26,22
1/4/2024,Weekday,A-22,South Ferry (142),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,11:57,11
1/4/2024,Weekday,A-7,168 St (112),External,"Public Conduct, Crime, Police Response",,Police,ARMED PERSON(S),1,1,01:33,1
1/4/2024,Weekday,A-27,79 St (122),External,"Public Conduct, Crime, Police Response",,Police,BIE-EBV-CUSTOMER,7,1,14:11,14
1/4/2024,Weekday,A-46,215 St (107),External,"Public Conduct, Crime, Police Response",,Police,INTERIOR SOILED/DIRTY,1,1,13:21,13
1/4/2024,Weekday,A-14,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,1,1,02:10,2
1/4/2024,Weekday,A-45,Houston St (134),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,3,1,12:54,12
1/4/2024,Weekday,A-5,Christopher St - Sheridan Square (133),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,2,1,00:13,0
1/4/2024,Weekday,A-16,79 St (122),External,Sick/Injured Customer,,Public,ASSISTANCE REFUSED/UNFOUNDED,3,1,07:29,7
1/4/2024,Weekday,A-52,96 St (120),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,>>COLLISION-MAINLINE<<,186,1,14:59,14
1/4/2024,Weekday,A-19,238 St (103),Internal,Subway Car,Braking,Division of Car Equipment,BRAKES FAIL TO CHARGE,5,1,07:34,7
1/4/2024,Weekday,A-41,Rector St (139),Internal,Subway Car,Braking,Division of Car Equipment,FLAT/SPOTTED WHEELS,1,1,12:24,12
1/4/2024,Weekday,A-42,231 St (104),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,6,1,10:22,10
1/4/2024,Weekday,A-8,137 St - City College (115),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,10,1,00:26,0
1/8/2024,Weekday,A-33,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,7,1,11:37,11
1/8/2024,Weekday,A-1,Woodlawn (401),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,3,4,02:35,2
1/8/2024,Weekday,A-56,50 St (126),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/ALIVE,56,1,17:52,17
1/8/2024,Weekday,A-65,145 St (114),External,Persons on Roadbed,,Police,PERSON ON ROADBED,29,1,21:51,21
1/8/2024,Weekday,A-9,Rector St (139),External,"Public Conduct, Crime, Police Response",,Public,GUARD LIGHT TROUBLE,1,1,02:57,2
1/8/2024,Weekday,A-11,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,1,04:57,4
1/8/2024,Weekday,A-12,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,7,1,06:13,6
1/8/2024,Weekday,A-23,238 St (103),Internal,Other Internal,Service Delivery,Division of Service Delivery,HANDBRAKE LIGHT ON,1,1,07:12,7
1/8/2024,Weekday,A-64,181 St (111),Internal,Other Internal,Service Delivery,Division of Service Delivery,T/O OVER RUNNING THE STATION,2,1,21:48,21
1/8/2024,Weekday,A-26,18 St (131),Internal,Subway Car,Braking,Division of Car Equipment,POOR BRAKING TRAIN,5,1,09:15,9
1/8/2024,Weekday,A-46,Cortlandt St (R25),Operating Environment,Other Operating Environment,,Police,PERSON(S) HOLDING DOORS,6,1,15:58,15
1/8/2024,Weekday,A-22,238 St (103),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,06:52,6
1/8/2024,Weekday,A-25,14 St (132),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,08:11,8
1/8/2024,Weekday,A-61,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,6,1,16:27,16
1/8/2024,Weekday,A-2,Times Square - 42 St (127),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,6,3,00:24,0
1/8/2024,Weekday,A-29,238 St (103),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,12,1,10:13,10
1/9/2024,Weekday,A-22,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,08:42,8
1/9/2024,Weekday,A-27,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),1,1,10:48,10
1/9/2024,Weekday,A-13,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,2,1,00:25,0
1/9/2024,Weekday,A-40,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,2,1,13:13,13
1/9/2024,Weekday,A-24,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,6,1,07:41,7
1/9/2024,Weekday,A-30,231 St (104),Internal,Other Internal,Service Delivery,Division of Service Delivery,BIE-AUTOMATIC SIGNAL,1,1,11:27,11
1/9/2024,Weekday,A-23,96 St (120),Internal,Subway Car,Braking,Division of Car Equipment,BIE-BRAKE PIPE RUPTURE,51,2,09:08,9
1/9/2024,Weekday,A-7, (),Internal,Subway Car,Braking,Division of Car Equipment,BRAKES FAIL TO CHARGE,6,1,06:36,6
1/9/2024,Weekday,A-47,191 St (110),Internal,Subway Car,Other - CE,Division of Car Equipment,T/O OVER RUNNING THE STATION,101,1,16:36,16
1/9/2024,Weekday,A-28,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,06:46,6
1/9/2024,Weekday,A-29,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,6,1,07:38,7
1/9/2024,Weekday,A-41,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,13:39,13
1/9/2024,Weekday,A-55,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,15:31,15
1/9/2024,Weekday,A-12,18 St (131),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,2,1,00:58,0
1/9/2024,Weekday,A-10,191 St (110),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,12,1,00:16,0
1/9/2024,Weekday,A-80,191 St (110),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,5,1,23:05,23
1/10/2024,Weekday,A-10,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,02:45,2
1/10/2024,Weekday,A-12,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,05:41,5
1/10/2024,Weekday,A-1,Woodlawn (401),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,7,4,02:55,2
1/10/2024,Weekday,A-31,Times Square - 42 St (127),External,Persons on Roadbed,,Police,PERSON ON ROADBED,38,2,07:39,7
1/10/2024,Weekday,A-64,168 St (112),External,Persons on Roadbed,,Police,PERSON ON ROADBED,40,1,16:50,16
1/10/2024,Weekday,A-61,207 St (108),External,"Public Conduct, Crime, Police Response",,Police,PERSON RIDING ON O/S OF TRAIN,5,1,15:17,15
1/10/2024,Weekday,A-54,Cortlandt St (138),Internal,Other Internal,Service Delivery,OPS Training,IMPROPER OPERATION,3,1,13:38,13
1/10/2024,Weekday,A-32,59 St - Columbus Circle (125),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-AUTOMATIC SIGNAL,16,1,08:10,8
1/10/2024,Weekday,A-7,Pelham Bay Park (601),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,1,6,01:17,1
1/10/2024,Weekday,A-18, (),Internal,Subway Car,Braking,Division of Car Equipment,LOW AIR,1,1,05:47,5
1/10/2024,Weekday,A-56,Times Square - 42 St (127),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,2,1,14:08,14
1/10/2024,Weekday,A-20,Canal St (135),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,BIE-DEBRIS ON ROADBED,2,2,06:37,6
1/10/2024,Weekday,A-42,137 St - City College (115),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,DEBRIS ON ROADBED,3,1,09:47,9
1/10/2024,Weekday,A-6,191 St (110),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,11,1,00:17,0
1/10/2024,Weekday,A-53,242 St - Van Cortlandt Park (101),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,11,1,10:45,10
1/10/2024,Weekday,A-96,157 St (113),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,5,1,23:16,23
1/11/2024,Weekday,A-18,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,7,1,05:25,5
1/11/2024,Weekday,A-24,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,3,1,07:25,7
1/11/2024,Weekday,A-27,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,08:03,8
1/11/2024,Weekday,A-6,South Ferry (142),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,1,1,00:59,0
1/11/2024,Weekday,A-1,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,8,1,01:05,1
1/11/2024,Weekday,A-73,Cortlandt St (138),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/DECEASED,101,1,18:55,18
1/11/2024,Weekday,A-55,Houston St (134),External,Persons on Roadbed,,Public,PERSON ON ROADBED,7,1,12:00,12
1/11/2024,Weekday,A-9,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,1,1,00:53,0
1/11/2024,Weekday,A-68,14 St (132),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),1,1,17:31,17
1/11/2024,Weekday,A-78,Franklin Av (239),External,Sick/Injured Customer,,Police,*INJURED CUSTOMER(S),1,1,21:09,21
1/11/2024,Weekday,A-29,Times Square - 42 St (127),External,Sick/Injured Customer,,Public,SICK CUSTOMER,3,1,08:54,8
1/11/2024,Weekday,A-22,South Ferry (142),Internal,Other Internal,Other Internal Disruptions,Automatic Train Supervision,AUTOMATIC TRAIN SUPV,2,1,06:23,6
1/11/2024,Weekday,A-60,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,8,1,12:00,12
1/11/2024,Weekday,A-44,Flatbush Av - Brooklyn College (247),Internal,Signal Failures,Other - Sig,Division of MOW Signals,AUTOMATIC TRAIN SUPV,12,2,11:33,11
1/11/2024,Weekday,A-43,168 St (112),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,4,1,10:22,10
1/11/2024,Weekday,A-72,168 St (112),Internal,Subway Car,Propulsion,Division of Car Equipment,SLOW TRAIN,2,1,17:54,17
1/11/2024,Weekday,A-58,181 St (111),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,3,1,15:08,15
1/11/2024,Weekday,A-12,135 St (224),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,2,2,00:35,0
1/11/2024,Weekday,A-95,125 St (116),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,19,1,12:00,12
1/11/2024,Weekday,A-34,238 St (103),Planned ROW Work,,,Division of MOW Signals,GENERAL ORDER OPERATION,37,1,10:00,10
1/11/2024,Weekday,A-7,14 St (132),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,13,1,00:01,0
1/11/2024,Weekday,A-94,191 St (110),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,4,1,23:12,23
1/11/2024,Weekday,A-14,191 St (110),Planned ROW Work,,,MTA Construction & Development,DELAYED BY TRACK/WORK GANGS,5,1,00:36,0
1/12/2024,Weekday,A-12,Cortlandt St (138),External,Persons on Roadbed,,Police,*BIE-PERSON STRUCK/DECEASED,1,1,00:09,0
1/12/2024,Weekday,A-47,Chambers St (137),External,"Public Conduct, Crime, Police Response",,Police,GUARD LIGHT TROUBLE,15,1,11:51,11
1/12/2024,Weekday,A-8,135 St (224),External,"Public Conduct, Crime, Police Response",,Police,OBSTRUCTION/UNUSUAL INCIDENT,3,2,00:36,0
1/12/2024,Weekday,A-21,50 St (126),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,4,1,07:06,7
1/12/2024,Weekday,A-51,79 St (122),External,"Public Conduct, Crime, Police Response",,Police,UNRULY PERSON(S),3,1,12:53,12
1/12/2024,Weekday,A-31,181 St (111),External,"Public Conduct, Crime, Police Response",,Public,BIE-EMPLOYEE,1,1,08:39,8
1/12/2024,Weekday,A-39,207 St (108),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),10,1,09:50,9
1/12/2024,Weekday,A-56,157 St (113),External,"Public Conduct, Crime, Police Response",,Public,UNRULY PERSON(S),2,1,14:32,14
1/12/2024,Weekday,A-34,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,11,1,07:05,7
1/12/2024,Weekday,A-36,South Ferry (142),Internal,Other Internal,Service Delivery,Division of Service Delivery,SICK EMPLOYEE,1,1,09:31,9
1/12/2024,Weekday,A-44,215 St (107),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,1,1,11:21,11
1/12/2024,Weekday,A-96,242 St - Van Cortlandt Park (101),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,4,1,23:00,23
1/12/2024,Weekday,A-71,72 St (123),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,20,1,17:25,17
1/12/2024,Weekday,A-89,242 St - Van Cortlandt Park (101),Internal,Subway Car,Other - CE,Division of Car Equipment,B/O C/R KEY SWITCH,2,1,21:10,21
1/12/2024,Weekday,A-41,137 St - City College (115),Internal,Track Failures,"Fire, Smoke, Debris",Division of MOW Track,DEBRIS ON ROADBED,10,1,10:04,10
1/12/2024,Weekday,A-100,103 St (119),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,5,1,22:29,22
1/12/2024,Weekday,A-29,72 St (123),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:45,7
1/12/2024,Weekday,A-35,103 St (119),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,07:01,7
1/12/2024,Weekday,A-78,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,4,1,15:18,15
1/12/2024,Weekday,A-95,South Ferry (142),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,13,1,20:54,20
1/12/2024,Weekday,A-42,125 St (116),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,19,1,10:40,10
1/12/2024,Weekday,A-16,191 St (110),Planned ROW Work,,,Division of MOW Track,DELAYED BY TRACK/WORK GANGS,9,1,00:19,0
1/12/2024,Weekday,A-10,145 St (302),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,1,2,02:07,2
1/12/2024,Weekday,A-97,Central Park North (110 St) (227),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,1,6,22:12,22
1/15/2024,Weekday,A-51,Times Square - 42 St (127),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,4,1,17:31,17
1/15/2024,Weekday,A-24,181 St (111),External,Sick/Injured Customer,,Public,SICK CUSTOMER,6,1,08:55,8
1/15/2024,Weekday,A-42,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,10,1,12:00,12
1/15/2024,Weekday,A-54,59 St - Columbus Circle (125),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,2,1,18:06,18
1/15/2024,Weekday,A-20, (),Internal,Subway Car,Propulsion,Division of Car Equipment,NO MOTOR POWER,2,1,03:44,3
1/15/2024,Weekday,A-33,242 St - Van Cortlandt Park (101),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,1,1,05:09,5
1/15/2024,Weekday,A-34,Chambers St (137),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,06:05,6
1/15/2024,Weekday,A-70,Times Square - 42 St (127),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,2,1,20:30,20
1/15/2024,Weekday,A-77,191 St (110),Operating Environment,Other Operating Environment,,Public,PERSON(S) HOLDING DOORS,4,1,22:27,22
1/15/2024,Weekday,A-6,Franklin St (136),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,9,1,00:56,0
1/16/2024,Weekday,A-60,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO C/R AVAILABLE,2,1,15:19,15
1/16/2024,Weekday,A-1,242 St - Van Cortlandt Park (101),Crew Availability,,,Division of Service Delivery,NO T/O AVAILABLE,7,1,06:21,6
1/16/2024,Weekday,A-19,Times Square - 42 St (127),External,External Debris on Roadbed,,Public,DEBRIS ON ROADBED,2,1,07:10,7
1/16/2024,Weekday,A-63,219 St (207),External,Inclement Weather,,Public,INCLEMENT WEATHER CONDITION,4,2,14:40,14
1/16/2024,Weekday,A-103,72 St (123),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,1,2,22:40,22
1/16/2024,Weekday,A-67,South Ferry (142),External,"Public Conduct, Crime, Police Response",,Public,INTERIOR SOILED/DIRTY,3,1,16:22,16
1/16/2024,Weekday,A-35,242 St - Van Cortlandt Park (101),Internal,Other Internal,Other Internal Disruptions,Miscellaneous,CAR SHORTAGE,6,1,08:50,8
1/16/2024,Weekday,A-104,137 St - City College (115),Internal,Other Internal,Service Delivery,Division of Service Delivery,COMFORT RELIEF,2,1,22:41,22
1/16/2024,Weekday,A-26,Flatbush Av - Brooklyn College (247),Internal,Signal Failures,Other - Sig,Division of MOW Signals,BIE-HOME SIGNAL,4,5,08:29,8
1/16/2024,Weekday,A-12,Chambers St (137),Internal,Signal Failures,Other - Sig,Division of MOW Signals,SWITCH TROUBLE,4,1,04:53,4
1/16/2024,Weekday,A-29,59 St - Columbus Circle (125),Internal,Signal Failures,Other - Sig,Division of MOW Signals,TRACK CIRCUIT FAILURE,18,1,08:45,8
1/16/2024,Weekday,A-5,Beverly Rd (245),Internal,Subway Car,Door-Related,Division of Car Equipment,GUARD LIGHT TROUBLE,3,5,07:41,7
1/16/2024,Weekday,A-30,59 St - Columbus Circle (125),Internal,Subway Car,Other - CE,Division of Car Equipment,NO AIR CONDITION/HEAT,1,1,08:48,8
1/16/2024,Weekday,A-87,Chambers St (137),Internal,Track Failures,Rail and Roadbed,Division of MOW Track,TRACK CIRCUIT FAILURE,4,1,20:57,20
1/16/2024,Weekday,A-54,96 St (120),Operating Environment,Other Operating Environment,,Public,CONGESTION-BOARDING/ALIGHTING,6,1,14:31,14
1/16/2024,Weekday,A-102,137 St - City College (115),Operating Environment,Other Operating Environment,,Public,PERSON(S) HOLDING DOORS,2,1,21:22,21
1/16/2024,Weekday,A-9,72 St (123),Planned ROW Work,,,Division of MOW Signals,DELAYED BY TRACK/WORK GANGS,8,1,00:42,0
1/16/2024,Weekday,A-8,34 St - Penn Station (128),Planned ROW Work,,,Division of MOW Track,DELAYED BY WORK TRAIN,5,1,02:10,2
1/17/2024,Weekday,A-34,137 St - City College (115),External,External Debris on Roadbed,,Public,DEBRIS ON ROADBED,1,1,10:00,10
1/17/2024,Weekday,A-17,181 St (111),External,"Public Conduct, Crime, Police Response",,Police,ARMED PERSON(S),3,1,05:39,5
1/17/2024,Weekday,A-43,14 St (132),External,"Public Conduct, Crime, Police Response",,Police,BROKEN GLASS,9,1,11:17,11
1/17/2024,Weekday,A-73,242 St - Van Cortlandt Park (101),External,"Public Conduct, Crime, Police Response",,Police,BROKEN GLASS,12,1,15:40,15
1/17/2024,Weekday,A-24,137 St - City College (115),External,"Public Conduct, Crime, Police Response",,Police,POLICE INVESTIGATION,1,1,07:50,7
