Date,Sent To,Ticket ,RTO #,District,Line,Facility,Location,Type,Request,Entered by,Current Status,Completed Date,Comments,,
1/7/2025,MOW,950739,M25004,4,J,East New York Yard,Switchman Shack,repair,door check broken,JC,completed,2/21/2025,,,
1/7/2025,Station Env,950549,SE250016,3,Q,Stillwell Avenue,Men locker room,repair,ceiling heater not working,JC,completed,1/7/2025,,,
1/7/2025,Station Env,12681573,SE250017,4,J,Broadway Junction,Dispatcher office,repair,no running water,JC,completed,1/7/2025,pipes were frozen,,
1/7/2025,Station Env,12682975/ 12868549,SE250018,2,4,Utica Avenue,Storage room,repair,"door not closing or locking, hasp & staple missing screws",JC,completed,1/7/2025,2nd req #12868549 comp 1/16,,
1/7/2025,Station Env,950685/ 12683110,SE250019,2,4,Utica Avenue,Storage room,replace,light fixture out,JC,completed,1/9/2025,,,
1/7/2025,Station Env,950678,SE250020,2,6,Parkchester,Dispatcher office,repair,winterize pipes,JC,completed,1/9/2025,,,
1/7/2025,Station Env,950788,SE250021,1,3,148 Street,Dispatcher office,repair,key broken in radio cage lock,JC,completed,1/7/2025,,,
1/8/2025,EED Opto ,N/A,EO25001,1,5,Eastchester Dyre Avenue ,Track Y2 SE Platform ,repair ,new lock needed ,SP,completed ,2/26/2025,,,
1/8/2025,EED Opto ,N/A,EO25002,1,5,Morris Park ,Mezzanine by booth ,repair ,new lock needed ,SP,completed,2/26/2025,,,
1/8/2025,EED Opto ,N/A,EO25003,4,A,Euclid Avenue ,SE Track A1,replace ,eed is dirty ,SP,completed ,6/25/2025,,,
1/8/2025,EED Opto ,N/A,EO25004,3,FS,Botanic Garden ,20 feet South SB Platform ,replce ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25005,5,G,Court Square ,SE Track E-1,clean ,eed is dirty with graffitti ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25006,5,G,Court Square ,NE Track E-1,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25007,5,G,21 Street ,SE Track E-1 ,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25008,5,G,Greenpoint Queens Exit 422 ,SBTrack E-1 1118+50,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25009,5,G,Greenpoint Brooklyn Exit 421,NB Track E2 1193+50,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25010,5,G,Greenpoint Avenue ,SE Track E-1 ,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25011,5,G,Nassau Avenue ,Tracck E1 1113+00,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25012,5,G,Metropolitan Avenue,Track E1 1090+47,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25013,5,G ,Broadway  ,Track E1 1060+02,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25013,5,G,Flushing Avenue ,Track E1 1046+15,replace ,eed is dirty with poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25014,5,G,Myrtle Willoghby Avenue ,SE Track E1 1017+02,replace,eed is dirty with poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25015,5,G,Myrtle Willoghby Avenue ,NE Track E1 1024+67,clean ,eed is dirty ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25016,5,G,Bedford Nostrand Avenue ,SE Track 1 998+00,replace ,eed is dirty with poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25017,5,G,Bedford Nostrand Avenue ,NE Track 1 996+90,clean ,eed is dirty with graffitti ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25018,5,G,Classon Avenue ,SE Track 1 970+75,replace,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25019,5,G,Classon Avenue ,NE Track 1 978+45,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25020,5,G,Clinton Washington Avenue ,SE Track 1 950+90,clean ,eed is dirty with graffitti ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25021,5,G,Clinton Washington Avenue ,NE Track 1 958+45,replace ,eed is dirty with poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25022,5,G,Fulton Street ,SE Track 1 741+00,replace,eed is dirty with poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25023,5,G,Hoyt Schermerhorn ,30' SO Staition by E1769,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25024,5,G,Bergen Street ,Track B1 30' SO B1 - 756,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25025,5,G,Carroll Street ,Track B1 30' NO B1 - 732,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25026,5,G,Smith - 9 Street ,Track B1 at B1 - 705,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25027,5,G,4 Avenue 9 Street ,Track B1 at B1 - 684,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25028,5,G,7 Avenue ,Track 1 SE Bench Wall ,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25029,5,G,15 Street Prospect Park ,Track 1 SE Bench Wall ,replace ,eed is dirty with graffitti and poor lighting ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25030,5,G,Fort Hamiliton Parkway ,Track 1 SE Bench Wall ,clean ,eed is dirty with graffitti ,SP,completed,,,,
1/8/2025,EED Opto ,N/A,EO25031,5,G,Church Avenue ,Track 1 SE Bench Wall ,clean ,eed is dirty with graffitti ,SP,completed,,,,
1/8/2025,MOW,952461,M25005,4,A,207 Street Yard,Tower A,repair,b/o overhead fan heater,AG,closed,3/30/2025,,,
1/8/2025,Station Env,951628,SE250022,4,J,Broad Street,Men Restroom,repair,damaged door hinge,AG,completed,1/8/2025,,,
1/8/2025,Station Env,951582,SE250023,4,J,Broad Street,Women Restroom,repair,toilet not flushing adequately,AG,completed,1/8/2025,,,
1/8/2025,Station Env,951632,SE250024,1,1,242 Street ,Dispatcher office,repair,loose door handle,AG,completed,1/8/2025,,,
1/8/2025,Station Env,948133/ 12639997,SE250025,1,1,South Ferry,Crew facility,replace,missing door cylinder,AG,completed,1/11/2025,,,
1/8/2025,Station Env,12712184,SE250026,4,A,Broadway Junction,Tower,repair,toilet not flushing adequately,AG,completed,1/8/2025,,,
1/8/2025,Station Env,12719573,SE250027,4,L,Canarsie Rockaway Parkway,Superintendent Restroom,replace,broken and missing floor tiles,AG,completed,1/9/2025,,,
1/8/2025,Station Env,951929,SE250028,5,7,Main Street,Dispatcher office,repair,door does not close/lock,AG,completed,1/8/2025,,,
1/9/2025,F & S,N/A,F & S,1,2,241 Street,Crew room,repair,door handle ,JC,completed,1/9/2025,,,
1/9/2025,F & S,N/A,F & S,,,PC Richards,14 Street,pick up,refrigerator,JC,completed,1/9/2025,,,
1/9/2025,F & S,N/A,F & S,3,D,Stillwell Avenue,Dispatcher office,delivery,refrigerator,JC,completed,1/9/2025,,,
1/9/2025,Market Place,6030593803,139805,2,1,"Woodlawn, Stillwell, 242 Street",various locations,Staples,microwaves,JR,completed,1/13/2025,1046848,,
1/9/2025,Market Place,6030592126,139808,F&S,F&S,130 Livingston Street,Facilities & Safety,Staples,office supplies,JR,completed,1/13/2023,,,
1/9/2025,MOW,952693,M25005,5,E,Jamaica Yard,Hallway,replace,light fixtures out,JC,completed,1/11/2025,,,
1/9/2025,MOW,953447,M25006,2,4,Mosholu Yard,Superintendent Office,install,change door lock,AG,completed,1/14/2025,,,
1/9/2025,MOW,953466,M25007,2,3,Livonia Yard,Parking lot gate,repair,broken gate lock handle,JC,completed by F & S,1/10/2025,,,
1/9/2025,MOW,953538,M25008,5,E,Jamaica Yard,Tower restroom - 2nd floor,repair,flushometer leaking,JC,completed,2/14/2025,,,
1/9/2025,MOW,953548,M25009,5,E,Jamaica Yard,Tower restroom - 2nd floor,repair,ceiling leak,JC,completed,1/15/2025,,,
1/9/2025,Station Env,12717586,SE250029,3,R,Forest Hills 71 Street Continental,Women locker room,repair,door handle broke off,JC,completed,1/9/2025,,,
1/9/2025,Station Env,952570,SE250030,2,4,Woodlawn,Men Restroom,repair,leaking & clogged sinks,AG,completed,1/9/2025,,,
1/9/2025,Station Env,940945/12718615,SE250031,1,5,East 180 Street,Men Restroom,repair,b/o urinal,AG,completed,1/9/2025,,,
1/9/2025,Station Env,12720073,SE250032,2,4,Utica Avenue,Tower,repair,door not closing,AG,completed,1/9/2025,,,
1/9/2025,Station Env,12719788,SE250033,3,Q,Stillwell Avenue,Dispatcher Office Track 3&4,repair,leaking sink,AG,completed,1/12/2025,,,
1/9/2025,Station Env,12834865,SE250034,2,3,148 Street,Restrooms,install,hand dryers,JC,completed,1/21/2025,,,
1/9/2025,Station Env,13264084,SE250035,3,Q,Stillwell Avenue,Crew Facility,install,windlow latches,AG,closed,7/26/2025,,,
1/9/2025,Station Env,952862/ 12720923,SE250036,4,A,Broadway Junction,Tower,repair,door lock is not locking,JC,completed,1/9/2025,,,
1/9/2025,Station Env,952922/ 12721629,SE250037,3,N,Stillwell Avenue,Dispatcher restroom,install,install floor tiles,JC,completed,1/29/2025,,,
1/9/2025,Station Env,952879,SE250038,1,2,Flatbush Avenue,Crew room - 5 line Track 2,repair,"door not closing properly, leaving open",AG,completed,1/10/2025,,,
1/9/2025,Station Env,951691/ 12709965,SE250039,5,G,Court Square ,Superintendent office,replace,door lock cylinder,JC,completed,1/9/2025,,,
1/9/2025,Station Env,12717747,SE250040,3,R,Forest Hills 71 Street Continental,Locker rooms - mezzanine level,replace,2 dimmed lights ,JC,completed,1/9/2025,,,
1/10/2025,F & S,N/A,F & S,2,3,Livonia Yard,Parking lot gate,repair,broken gate lock handle,JC,completed,1/10/2025,,,
1/10/2025,F & S,N/A,F & S,5,J,Parsons Archer,Dispatcher office,repair,combo lock,JC,completed,1/10/2025,,,
1/10/2025,F & S,N/A,F & S,3,R,Forest Hills 71 Street Continental,Crew room - Mezzanine Level,repair,combo lock,JC,completed,1/10/2025,,,
1/10/2025,F & S,N/A,F & S,3,Q,Stillwell Avenue,CRC,repair,adjust & lubricate door,AG,completed,1/10/2025,Bill fixed the door.,,
1/10/2025,Market Place,6030592128,139839,,,Crew Office,Denise Pate,material,office supplies,JR,completed,1/21/2025,,,
1/10/2025,Market Place,6030592134/6030592122,139862,4,A,Howard Beach,Office Trailer,Grainger/Fastenal,stackable chairs & table,JR,completed,1/20/2025,,,
1/10/2025,Market Place,6030592125/6030592132,F & S,F& S,,Systemwide,130 Livingston Street,Grainger,microwaves,JR,completed ,10/12/2025,1044834,,
1/10/2025,MOW,953581,M25010,5,7,Corona Yard,Lunch Room,repair,b/o water heater,AG,completed,1/21/2025,,,
1/10/2025,MOW,954988,M25011,3,D,Coney Island Yard,Crew room,repair,leaking pipe,AG,completed,2/14/2025,,,
1/10/2025,Station Env,13265835,SE250041,5,7,Main Street,Women restroom,repair,exposed wall outlet,AG,completed,2/5/2025,,,
1/10/2025,Station Env,12726055/ 953502,SE250042,5,7,Main Street,Women restroom,repair,toilet flushometer leaking,AG,completed,1/10/2025,,,
1/10/2025,Station Env,12319176,SE250043,2,3,New Lots Avenue,Dispatcher office,repair,"broken light fixtures, danger of falling",JC,completed,1/10/2025,,,
1/10/2025,Station Env,953645/ 12728228,SE250044,4,C,Rockaway Park Beach 116 Street,Dispatcher office,repair,door lock not closing or locking,AG,completed,1/10/2025,,,
1/10/2025,Station Env,953804,SE250045,3,B,145 Street,Crew room,repair,door sticks when closing,JC,completed,1/10/2025,,,
1/10/2025,Station Env,953813,SE250046,2,3,148 Street,Crew room,repair,"inner door handle broken, door hard to open",JC,completed,1/11/2025,,,
1/10/2025,Station Env,953808,SE250047,2,6,Parkchester,Crew room,repair,baseboard heaters not working,JC,completed,1/10/2025,,,
1/13/2025,Bergen Shop ,N/A,B25009,Sub C,Sub C,38 Street Yard ,AP Ayana Jones ,fabricate ,retirement plaque for valerie coulter ,SP,completed ,p/u by C. Henchke  ,p/u by Mike 3/17,,
1/13/2025,Bergen Shop ,N/A,B25010,5,G,Court Square ,AP Leonora Andujar,fabricate ,retirement plaque for edward mckernan,SP,completed ,3/13/2025,p/u by Gonzalez,,
1/13/2025,Disposal,N/A,D25001,3,D,Stillwell Avenue,Dispatcher office,dispose,cooler is infested with bugs ,SP,completed,,,,
1/13/2025,HVAC,12731348,HV25001,1,1,42 Street Times Square,Tower,repair,unit #MA501 leaking casuing overflow at sinke,JC,completed,1/11/2025,HVAC said sink is clogged,,
1/13/2025,Market Place,6030593796/6030593790,139927,3,D,145 Street/Crew Office,Dispatcher Office/ACO Fantauzzi,Grainger/Fastenal,microwave- lable maker ACO Fantauzzi- item discontinued,JR,completed,1/24/2025,,,
1/13/2025,MOW,968653,M25012,4,J,Parsons Archer,J2 Track SM #670+00,repair,ceiling leak along catwalk,JC,completed,1/30/2025,W4 Nights grouted and sealed ceiling,,
1/13/2025,Quench/WC,N/A,Q25001,3,D,Stillwell Avenue,Dispatcher office,install ,new cooler request ,SP,completed,1/30/2025,,,
1/13/2025,Station Env,12756660,SE250048,2,3,New Lots Avenue,Restrooms,repair,"busted pipe, heavy water flow to street level",JC,completed,1/13/2025,,,
1/13/2025,Station Env,N/A,SE250049,4,J,Broadway Junction,Crew facility,repair,b/o baseboard heater,AG,completed,1/13/2025,,,
1/13/2025,Station Env,12761158,SE250050,3,N,Stillwell Avenue,Dispatcher restroom,replace,toilet seat,JC,completed,1/16/2025,,,
1/13/2025,Station Env,954782,SE250051,1,1,242 Street ,Women locker room,repair,clogged toilet,AG,completed,1/30/2025,,,
1/13/2025,Station Env,13349162/ 954931,SE250052,1,5,East 180 Street,Dispatcher office,repair,broken floor tiles,AG,completed,2/12/2026,,,
1/13/2025,Station Env,954917,SE250053,3,D,Stillwell Avenue,Dispatcher office,replace,GFI outlet not resetting,JC,completed,1/14/2025,,,
1/14/2025,Market Place,6030593793,140003,Sub C,Sub C,Prospect Park,Crew room,Ozone,adhesive,JR,completed,1/28/2025,1108971,,
1/14/2025,Market Place,6030593804,140003,Sub C,Sub C,Prospect Park,Crew room,Grainger,floor tiles,JR,completed,,,,
1/14/2025,Market Place,6030593797,140011,F&S,F&S,130 Livingston Street,Systemwide,Staples,air purifer filter,JR,completed,,,,
1/14/2025,MOW,956503,M25013,5,E,Jamaica Yard,Tower,repair,b/o heating unit,AG,completed,2/14/2025,,,
1/14/2025,Station Env,12767157,SE250054,2,4,Utica Avenue,Tower,repair,"door not closing properly, leaving open",AG,completed,1/15/2025,,,
1/14/2025,Station Env,12781347,SE250055,5,F,34 Street Master Tower,Tower,repair,door will not lock,AG,completed,1/14/2025,,,
1/14/2025,Station Env,12789527,SE250056,2,3,New Lots Avenue,Crew room,repair,broken window,AG,completed,1/29/2025,,,
1/14/2025,Station Env,956002,SE250057,2,6,Parkchester,Crew facility,repair,b/o baseboard heater,AG,completed,1/14/2025,,,
1/14/2025,Station Env,956046,SE250058,2,3,148 Street,Dispatcher office,repair,broken lock on radio cage,AG,completed,1/14/2025,,,
1/14/2025,Station Env,956058/ 12797058,SE250059,3,Q,Dekalb Avenue,Women restroom,repair,clogged sink,AG,completed,1/14/2025,,,
1/14/2025,Station Env,N/A,SE250060,5,7,Willets Point,Dispatcher restroom,repair,toilet not flushing adequately,AG,completed,1/14/2025,,,
1/14/2025,Station Env,N/A,SE250061,4,C,Euclid Avenue ,Men restroom,repair,b/o stall,AG,completed,1/14/2025,,,
1/14/2025,Station Env,956062,SE250062,4,A,207 Street,Men restroom,repair,sink has slow drainage,AG,completed,1/14/2025,,,
1/14/2025,Station Env,956064/ 12799401,SE250063,4,A,Broadway Junction,Tower restroom,repair,"clogged toilet, ejector issues",AG,completed,1/16/2025,,,
1/15/2025,F & S,N/A,F & S,2,4,Utica Avenue,Tower,repair,combo lock,JC,completed,1/15/2025,,,
1/15/2025,F & S,N/A,F & S,4,A,Howard Beach JFK Airport,Trailer,delivery,delivered chairs,JC,completed,1/15/2025,,,
1/15/2025,MOW,968623,M25014,4,A,207 Street Yard,Trailor,repair,trailor shirt detaching,AG,completed,2/2/2025,,,
1/15/2025,MOW,957289,M25015,4,A,207 Street Yard,Crew Room Trailor,repair,loose spring overhead doorstop,AG,completed,1/16/2025,,,
1/15/2025,Station Env,12854435,SE250064,3,R,95 Street,Pump Room,repair,odor of sewage,AG,completed,1/23/2025,,,
1/15/2025,Station Env,956656,SE250065,3,D,Bedford Park Boulevard ,Men Restroom,repair,slow draining sink's,AG,completed,1/15/2025,,,
1/15/2025,Station Env,12838379,SE250066,3,D,Bedford Park Boulevard ,Crew Room(Platform),repair,broken keypad lock,AG,completed,1/15/2025,,,
1/15/2025,Station Env,956654,SE250067,3,B,145 Street,Women Locker Room/Restroom,repair,b/o doorstop ,JC,completed,1/15/2025,,,
1/15/2025,Station Env,957349,SE250068,3,B,145 Street,Men Restroom,repair,low lighting,JC,completed,2/5/2025,,,
1/15/2025,Station Env,13267504,SE250069,4,J,Broad Street,Men Restroom,repair,lowdrip/chemical grouting needed,AG,completed,2/9/2025,,,
1/15/2025,Station Env,11431895,SE250070,3,N,Ditmars Boulevard,Crew Facility,repair,b/o window,AG,completed,2/11/2025,,,
1/16/2025,F & S,N/A,F & S,4,A,Howard Beach JFK Airport,Entre facility,inpection,inspect for preparation of G.O.,JC,completed,1/16/2025,,,
1/16/2025,MOW,957375,M25016,4,A,207 Street Yard,Superintendent office,repair,door is slamming with force,AG,completed,1/21/2025,,,
1/16/2025,MOW,N/A,M25017,4,A,207 Street Yard,Women Locker Room,repair,door not closing properly,AG,completed,1/16/2025,,,
1/16/2025,MOW,957375,M25018,3,D,Concourse Yard,Dispatcher Office,repair,b/o door lock,AG,completed,1/15/2025,,,
1/16/2025,MOW,N/A,M25019,2,3,148 Street Lenox Yard,Tracks 21 & 22,repair,deteriorated and loose fiberglass walkways,AG,referred to Track/MOW Control 2/5,,,,
1/16/2025,MOW,N/A,M25020,2,3,148 Street Lenox Yard,Track 12,repair,loose handrail,AG,completed,1/18/2025,,,
1/16/2025,MOW,958044,M25021,2,3,148 Street Lenox Yard,Track 24 btwn Piller T17-T15,repair,water dripping onto third rail,AG,completed,2/27/2025,,,
1/16/2025,MOW,983384,M25022,2,3,148 Street Lenox Yard,Track 25 near Piller T13 & T14,remove,insulation fell onto the track,AG,completed,2/27/2025,,,
1/16/2025,OCC,538488,OCC25001,3,D,Coney Island Yard,"Tracks 67, 76 & 77",repair,deteriorated and loose fiberglass walkways,JC,completed,2/13/2025,,,
1/16/2025,OCC,N/A,OCC25002,4,A,207 Street Yard,"Tracks 26-28, 32-33, 38-44",remove,tree stumps and weeds pose as tripping hazards,JC,completed,2/1/2025,,,
1/16/2025,Station Env,13065263,SE250071,3,N,Ditmars Boulevard,Crew Room Trailor,repair,dim lighting,AG,completed,1/23/2025,,,
1/16/2025,Station Env,957291/12857529,SE250072,5,7,Main Street,Crew Facility-Platform,repair,"missing,broken &dirty ceiling tiles",AG,completed,2/24/2025,,,
1/16/2025,Station Env,13265880,SE250073,5,7,Main Street,Women Restroom-Platform,replace,missing light fixture cover,AG,completed,3/10/2025,,,
1/16/2025,Station Env,12858990,SE250074,4,A,Lefferts Boulevard,Dispatcher Office,repair,door not closing/locking,AG,completed,1/16/2025,,,
1/16/2025,Station Env,957473,SE250075,4,A,14 Street 8 Avenue,Superintendent office,replace,missing ceiling tiles,AG,closed,3/18/2025,,,
1/16/2025,Station Env,12868504,SE250076,3,N,Ditmars Boulevard,Crew Facility,repair,light fixture hanging/bo light bulb,AG,completed,1/22/2025,,,
1/16/2025,Station Env,12868504,SE250077,3,N,Ditmars Boulevard,Dispatcher Office,replace,lightbulb out,AG,completed,1/22/2025,,,
1/16/2025,Station Env,957460/12866402 ,SE250078,5,F,179 Street,Women Restroom,repair,clogged toilet,AG,completed,1/16/2025,,,
1/16/2025,Station Env,N/A,SE250079,5,7,Willets Point,Dispatcher restroom,repair,no running water,AG,completed,1/18/2025,,,
1/16/2025,Station Env,957628,SE250080,1,5,East 180 Street,Dispatcher Office,repair,intercom cover detaching/exposed electrical wires,JC,completed,1/17/2025,,,
1/16/2025,Station Env,957708,SE250081,2,4,Woodlawn,Women Restroom,repair,b/o sink,AG,completed,1/17/2025,,,
1/16/2025,Station Env,"952570/957706
NCF#957706 ",SE250082,2,4,Woodlawn,Men Restroom,repair,leaking urinal/clogged sink/missing faucet,AG,completed,1/17/2025,,,
1/16/2025,Station Env,957698,SE250083,1,5,East 180 Street,Men Restroom,repair,overflowing urinal,AG,completed,1/16/2025,,,
1/16/2025,Station Env,N/A,SE250084,2,3,New Lots Avenue,Dispatcher Office,repair,broken metal ceiling tiles,AG,completed,1/16/2025,,,
1/16/2025,Station Env,N/A,SE250085,2,4,Utica Avenue,Tower,repair,jammed door,AG,completed,1/17/2025,,,
1/16/2025,Station Env,957716,SE250086,1,2,241 Street,Crew Facility,repair,winterize pipes,JC,completed,2/11/2025,,,
1/16/2025,Station Env,957717,SE250087,1,1,242 Street ,Crew Room,repair,winterize pipes,JC,completed,1/17/2025,,,
1/17/2025,F & S,N/A,F & S,4,A,Howard Beach JFK Airport,Trailers,install,delivery and set up of restroom trailers ,JC,completed,1/17/2025,,,
1/17/2025,F & S,N/A,F & S,4,A,Howard Beach JFK Airport,Trailers,install,installed combo locks,JC,completed,1/17/2025,,,
